job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
Team Lead- Data Analyst,KGK Group,Surat,5-7 Yrs,5-12 Lacs PA,"Advanced Excel, Tableau, Python, Power BI, Data Analysis, Data Visualization, Team Leading, Dashboards",surat,5,7,"excel, tableau, python, power bi, data analysis, data visualization, team leading, dashboards"
Data Analyst,Leading Client,Surat,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",surat,6,10,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools"
Senior Business Analyst,Leading Client,Surat,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",surat,8,13,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills"
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Surat,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",surat,6,10,"data cleansing, splunk, python, data quality, classification, regression, statistical analyses, clustering"
Risk Data Analyst,PURVIEW,Hybrid - Surat,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Analysis",surat,6,11,"powerbi, risk and data analyst, data analysis, jira, risk & control management, excel, project coordination, analysis"
Lead Data Analyst,Leading Client,Surat,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",surat,7,12,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills"
Data Analyst,Aloola,Surat,4-9 Yrs,Not Disclosed,"data analysis, data management, data architecture, analytical skills, data analyst, analytics, cloud, data modeling",surat,4,9,"data analysis, data management, data architecture, analytical skills, data analyst, analytics, cloud, data modeling"
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Surat,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",surat,8,13,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud"
MIS Executive and Analyst,Gurukrupa Exports,Surat(Varachha),1-4 Yrs,Not Disclosed,"VLOOKUP, excel, Advanced Excel, MIS, Analysis",surat,1,4,"vlookup, excel, excel, mis, analysis"
Business Analyst,Leading Client,Surat,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",surat,6,11,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research"
Business Analyst (Cybersecurity),Purview Service,Hybrid - Surat,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",surat,6,11,"cyber security, business analyst, regulatory, data visualization, endpoint protection, edr, compliance, information security"
MIS reporting,Mavair Global,Surat(Amroli),0-1 Yrs,1.25-1.75 Lacs PA,"Communication Skills, Excel, MS Office, Documentation, Formulas, Data Analysis, Power Point Presentation, Microsoft",surat,0,1,"communication skills, excel, ms office, documentation, formulas, data analysis, power point presentation, microsoft"
Office Executive - MIS,mycityband,Surat,0-2 Yrs,Not Disclosed,"Sales, Office Executive, Executive management, FMCG, Management, MS Office, Administration work, MIS Executive",surat,0,2,"sales, office executive, executive management, fmcg, management, ms office, administration work, mis executive"
MIS EXECUTIVE,Aactive Hr Plus,Surat,1-3 Yrs,Not Disclosed,"MIS Executive, MIS",surat,1,3,"mis executive, mis"
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Surat, Jamnagar, Ahmedabad, Rajkot, Vadodara",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",surat,1,5,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales"
Deputy Manager - MIS & Analytics,Axis Max Life Insurance,"Surat, Jamnagar, Ahmedabad, Rajkot, Vadodara",2-6 Yrs,Not Disclosed,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis",surat,2,6,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis"
Financial Data Analyst | Graduate Freshers Welcome | Night Shift,Arise Solution,Vadodara,0-1 Yrs,2.75-3 Lacs PA,"Fluent English, Finance and Accounts, Global MNC, Communication Skills, Spoken English, International Clients, Excellent Communication in English, Problem Solving",vadodara,0,1,"fluent english, finance and accounts, global mnc, communication skills, spoken english, international clients, excellent communication in english, problem solving"
Medical Data Analyst,Exxat Systems,Vadodara,2-5 Yrs,Not Disclosed,"cloud, salesforce, medical data analyst, osha, hippa, data entry, Data, OHSAS 18001",vadodara,2,5,"cloud, salesforce, medical data analyst, osha, hippa, data entry, data, ohsas 18001"
Data Analyst,Little Genius Academy,Vadodara,1-3 Yrs,Not Disclosed,"Data Analyst, Data, Data analysis",vadodara,1,3,"data analyst, data, data analysis"
Data Analyst (Gujarati Speaker - India),Peroptyx,Remote,0-5 Yrs,Not Disclosed,"English, Gujarati, Mapping, Research, Data Analytics, Attention to Detail, Data analysis, Detailing",vadodara,0,5,"english, gujarati, mapping, research, data analytics, attention to detail, data analysis, detailing"
Data Analyst - Bilingual,Numerator,Vadodara,0-7 Yrs,Not Disclosed,"Training, Retail, Usage, French, Database, Data Analyst, Research, Data entry",vadodara,0,7,"training, retail, usage, french, database, data analyst, research, data entry"
Financial Data Analyst,Appletech,Vadodara,8-13 Yrs,Not Disclosed,"cost reduction, accounts payable, project management, data analysis, data validation, forecasting, regulatory, variance analysis",vadodara,8,13,"cost reduction, accounts payable, project management, data analysis, data validation, forecasting, regulatory, variance analysis"
Data Analyst - French,Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Retail, Usage, French, Database, Data Analyst, Research, Data entry",vadodara,1,4,"training, retail, usage, french, database, data analyst, research, data entry"
QC Data Analyst - Production Validation,Numerator,Vadodara,2-9 Yrs,Not Disclosed,"Quality standards, Usage, Coding, Client servicing, Senior Executive, Manual, Data Analyst, Training and Development",vadodara,2,9,"quality standards, usage, coding, client servicing, senior executive, manual, data analyst, training and development"
Data Analyst - Attribution,Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Quality standards, QC, French, Coding, Data processing, Delivery Executive, Data Analyst",vadodara,1,4,"training, quality standards, qc, french, coding, data processing, delivery executive, data analyst"
Data Analyst (Mechanical & Instrumentation),ITConnectUS,Vadodara,3-6 Yrs,Not Disclosed,"Chemical, MS Access, Pumps, Pharma, instrumentation maintenance, Mechanical, Control valves, Database",vadodara,3,6,"chemical, ms access, pumps, pharma, instrumentation maintenance, mechanical, control valves, database"
Data Analyst - Attribution (French),Numerator,Vadodara,1-4 Yrs,Not Disclosed,"Training, Quality standards, QC, French, Coding, Data processing, Delivery Executive, Data Analyst",vadodara,1,4,"training, quality standards, qc, french, coding, data processing, delivery executive, data analyst"
Data Analyst - Power Transformer,Hitachi Energy,Vadodara,0-1 Yrs,Not Disclosed,"Case Analysis, Sap, Compliance, Networking, Power Bi, Data Warehouse, Programming, Data Analyst",vadodara,0,1,"case analysis, sap, compliance, networking, power bi, data warehouse, programming, data analyst"
Data Analyst,99plus It Solutions,Vadodara,2-5 Yrs,Not Disclosed,"Data Analyst, Data, Data analysis",vadodara,2,5,"data analyst, data, data analysis"
Data Analyst - German,Numerator,Vadodara,0-7 Yrs,Not Disclosed,"Training, Retail, Usage, Database, German, Data Analyst, Research, Data entry",vadodara,0,7,"training, retail, usage, database, german, data analyst, research, data entry"
Sr. QC Data Analyst - Data Quality & Methods,Numerator,Vadodara,3-10 Yrs,Not Disclosed,"Training, Root cause analysis, Usage, Data quality, Data Analyst, Resource management, Powerpoint, Reporting tools",vadodara,3,10,"training, root cause analysis, usage, data quality, data analyst, resource management, powerpoint, reporting tools"
Associate Business Analyst (Remote/Work from Home),WovVTech,Remote,0-1 Yrs,Not Disclosed,"Brd, Requirement Gathering, User Stories, Documentation, Business Analysis, Pivot Table, Excel, Requirement Analysis",vadodara,0,1,"brd, requirement gathering, user stories, documentation, business analysis, pivot table, excel, requirement analysis"
Business Analyst,Unite Computech Info,Vadodara,Not Specified,Unpaid,Not Specified,vadodara,,,Not Specified
Business Analyst,Odysseus Solutions,Vadodara,3-5 Yrs,Not Disclosed,"Business process, Industry research, Data analysis, Usage, Business Analyst, Business analysis, XML, Test scenarios",vadodara,3,5,"business process, industry research, data analysis, usage, business analyst, business analysis, xml, test scenarios"
Business Analyst,ARCHER Transnational Systems Pvt. Ltd,Vadodara,4-8 Yrs,7-10 Lacs PA,"Agile, Scrum, Stakeholder Engagement, Mockups, Excel, Wireframe, JIRA, SQL",vadodara,4,8,"agile, scrum, stakeholder engagement, mockups, excel, wireframe, jira, sql"
"Senior Business Analyst (Retail, Mobile App, Loyalty)",Techno Compass Consulting,Vadodara,6-11 Yrs,Not Disclosed,"Data analysis, Data validation, Manager Quality Assurance, Publishing, Business analysis, Technical writing, Analytical, Customer support",vadodara,6,11,"data analysis, data validation, manager quality assurance, publishing, business analysis, technical writing, analytical, customer support"
"Senior Business Analyst (Mobile App, Loyalty, Malls, Retail industry)",Techno Compass Consulting,"Vadodara, Mumbai, Chennai",3-8 Yrs,Not Disclosed,"Retail, Data analysis, Manager Quality Assurance, Publishing, Business Analyst, Business analysis, Technical writing, Analytical",vadodara,3,8,"retail, data analysis, manager quality assurance, publishing, business analyst, business analysis, technical writing, analytical"
Business Analyst,Ethics Infinity,Vadodara,7-8 Yrs,Not Disclosed,"data analysis, business requirements, strong analytical skills, business analysis, market research, user stories, research, sql",vadodara,7,8,"data analysis, business requirements, strong analytical skills, business analysis, market research, user stories, research, sql"
MIS Executive,Intelemark Solutions,Vadodara,0-3 Yrs,Not Disclosed,"Excel, VBA, Saving, MIS Executive, MIS",vadodara,0,3,"excel, vba, saving, mis executive, mis"
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Vadodara, Jamnagar, Ahmedabad, Rajkot, Surat",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",vadodara,1,5,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales"
MIS and Dashboard Executive (Aadhar Card Operations),Baroda Global Shared Service,Gandhinagar,0-1 Yrs,2.5-3.5 Lacs PA,"VLOOKUP, Advanced Excel, Pivot, MIS, Formulas, Dashboards, MIS Reporting, Operations",gandhinagar,0,1,"vlookup, excel, pivot, mis, formulas, dashboards, mis reporting, operations"
MIS Executive,GJ Tech Solutions,"Gandhinagar, Ahmedabad",2-3 Yrs,Not Disclosed,"vendor management, hlookup, mis preparation, accounts payable, data analysis, sap, mis reporting, kpi",gandhinagar,2,3,"vendor management, hlookup, mis preparation, accounts payable, data analysis, sap, mis reporting, kpi"
MIS Operator,Kabir Technologies,Gandhinagar,1-6 Yrs,Not Disclosed,"hlookup, mis preparation, conditional formatting, data analysis, mis reporting, back office, pivot table, vlookup",gandhinagar,1,6,"hlookup, mis preparation, conditional formatting, data analysis, mis reporting, back office, pivot table, vlookup"
Mis Executive,Spectrum Talent Management,"Gandhinagar, Gandhidham, Ahmedabad",1-4 Yrs,Not Disclosed,"MIS Operations, Back Office Processing, VLOOKUP, Backend Operations, Data Processing, Data Entry, HLOOKUP, Data Entry Operation",gandhinagar,1,4,"mis operations, back office processing, vlookup, backend operations, data processing, data entry, hlookup, data entry operation"
Planning Engineer - (MIS & Material Planning experience),Group Bayport,Gandhinagar,2-4 Yrs,Not Disclosed,"Tally, management information system, Data analysis, Process analysis, Production planning, Time management, Project management, Analytical",gandhinagar,2,4,"tally, management information system, data analysis, process analysis, production planning, time management, project management, analytical"
Data Analysts / HTML Editor,Ace Software Exports,Rajkot,0-4 Yrs,Not Disclosed,"Training, Adobe Acrobat, XML, Epub, HTML, Editor, Testing, Data analysis",rajkot,0,4,"training, adobe acrobat, xml, epub, html, editor, testing, data analysis"
Data Analysts / HTML Editor,I-tech Infonet,Rajkot,0-2 Yrs,Not Disclosed,"Training, Adobe Acrobat, PDF, XML, Epub, HTML, Editor, Testing",rajkot,0,2,"training, adobe acrobat, pdf, xml, epub, html, editor, testing"
Data Analyst,Solomo360 Technologies,Rajkot,3-8 Yrs,Not Disclosed,"python, data analysis, data analytics, analytical, sas, insights, predictive analytics, machine learning",rajkot,3,8,"python, data analysis, data analytics, analytical, sas, insights, predictive analytics, machine learning"
Deputy Manager - MIS & Analytics,Axis Max Life Insurance,"Rajkot, Jamnagar, Ahmedabad, Surat, Vadodara",2-6 Yrs,Not Disclosed,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis",rajkot,2,6,"python, data analysis, data analytics, mis reporting, analytical, pivot table, power bi, business analysis"
Mis Executive,Hariom Mobile,"Rajkot, Ahmedabad",2-7 Yrs,2.25-4 Lacs PA,"MIS Operations, Advanced Excel, Operations, Excel, MIS",rajkot,2,7,"mis operations, excel, operations, excel, mis"
MIS Executive - Bancassurance YBL - Sales,Axis Max Life Insurance,"Rajkot, Jamnagar, Ahmedabad, Surat, Vadodara",1-5 Yrs,Not Disclosed,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales",rajkot,1,5,"insurance, channel sales, pivot table, general insurance sales, business development, vlookup, distribution, sales"
MIS Executive,The Best Enterprises,Rajkot,2-5 Yrs,Not Disclosed,"MIS reporting, ERP, Data validation, MIS, VLOOKUP, Data collection, Advanced Excel, MIS preparation",rajkot,2,5,"mis reporting, erp, data validation, mis, vlookup, data collection, excel, mis preparation"
