job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
Business Analyst (Post Sales),Emizen Tech,Jaipur,1-3 Yrs,Not Disclosed,"data analysis, team management, post sales, business analysis, process optimization, sales process, business development, sales",jaipur,1,3,"data analysis, team management, post sales, business analysis, process optimization, sales process, business development, sales"
Business Analyst (Bidder),Emizen Tech,Jaipur,0-5 Yrs,Not Disclosed,"Product management, Data analysis, Business Analyst, Project management, Analytical, Market research, Management, Business operations",jaipur,0,5,"product management, data analysis, business analyst, project management, analytical, market research, management, business operations"
Business Analyst,Premad Software Solutions,Jaipur,2-7 Yrs,Not Disclosed,"Data analysis, Business analysis, Financial analysis, Project management, Process improvement, Analytical, Agile, Market research",jaipur,2,7,"data analysis, business analysis, financial analysis, project management, process improvement, analytical, agile, market research"
Senior Business Analyst,Leading Client,Jaipur,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",jaipur,8,13,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills"
Data Analyst,Inveris Solution,Jaipur(Mansarovar),3-5 Yrs,7-8.5 Lacs PA,"Excel, Power BI, Dax, Data Modeling, Power Query, Financial Analysis, SAP, Netsuite",jaipur,3,5,"excel, power bi, dax, data modeling, power query, financial analysis, sap, netsuite"
Business Analyst,Zentek Infosoft,Jaipur,5-8 Yrs,Not Disclosed,"Data analysis, Manager Quality Assurance, Business analysis, Project management, Process improvement, Analytical, Project planning, Project delivery",jaipur,5,8,"data analysis, manager quality assurance, business analysis, project management, process improvement, analytical, project planning, project delivery"
Mis Executive,Neosalpha Technologies India,Jaipur,0-3 Yrs,Not Disclosed,"Advanced Excel, MIS Reporting, Pivot Table, VLOOKUP, Data Management, Conditional Formatting, Data Analysis, Data Extraction",jaipur,0,3,"excel, mis reporting, pivot table, vlookup, data management, conditional formatting, data analysis, data extraction"
"Consultant - Government Advisory - Data Analytics, MIS & Reporting",Amber And Mark Advisory Services,Jaipur,3-6 Yrs,Not Disclosed,"Data Analysis, Insights, Power BI, Data Collection, Advanced Excel, Tableau, Reporting, MIS Reporting",jaipur,3,6,"data analysis, insights, power bi, data collection, excel, tableau, reporting, mis reporting"
MIS Data Analytics Expert,Bahwan CyberTek,Jaipur,6-10 Yrs,15-25 Lacs PA,"Excel, Power BI, Data Analytics, Statistics, SQL, Tableau, Analytics, Bi",jaipur,6,10,"excel, power bi, data analytics, statistics, sql, tableau, analytics, bi"
Mis And Account Executive,Seven Consultancy,Jaipur,0-3 Yrs,2-3 Lacs PA,"Tally, Power BI, Advanced Excel, MIS Reporting, MIS Executive, Typing Speed, Accounting, MIS Operations",jaipur,0,3,"tally, power bi, excel, mis reporting, mis executive, typing speed, accounting, mis operations"
MIS Executive,Club Oxygen,"Jaipur, Kochi, Mumbai, Chandigarh, New Delhi, Lucknow, Thrissur, Chennai, Ahmedabad, Bengaluru",1-2 Yrs,Not Disclosed,"Vice President Marketing, Report generation, Data analysis, System maintenance, MIS, Analytical, Management, MS Office",jaipur,1,2,"vice president marketing, report generation, data analysis, system maintenance, mis, analytical, management, ms office"
MIS Executive,Velvu Technologies,Jaipur,0-3 Yrs,Not Disclosed,"Training, Report generation, Business analytics, Advanced Excel, Executive management, Management, Network management, Troubleshooting",jaipur,0,3,"training, report generation, business analytics, excel, executive management, management, network management, troubleshooting"
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Ujjain, Bhopal, Gwalior, Indore, Jabalpur",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",ujjain,6,8,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi"
Data Analyst,Fireblaze Ai School,Ahmedabad,0-2 Yrs,Not Disclosed,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL",ahmedabad,0,2,"performance tuning, automation, data analysis, data modeling, analytical, machine learning, macros, sql"
Data Analyst,S&P Global Market Intelligence,Ahmedabad,0-5 Yrs,Not Disclosed,"ai, data formats, queue management, process excellence, data capture, data research, exception handling, process improvement",ahmedabad,0,5,"ai, data formats, queue management, process excellence, data capture, data research, exception handling, process improvement"
Data Analyst,Legalwiz.in,Ahmedabad,1-3 Yrs,Not Disclosed,"Computer science, Analytical skills, Computer languages, Excel, Coding, data visualization, Data mining, Business intelligence",ahmedabad,1,3,"computer science, analytical skills, computer languages, excel, coding, data visualization, data mining, business intelligence"
Data Analyst,Advanced Risk Analytics,Ahmedabad,2-6 Yrs,Not Disclosed,"CV, Environmental science, Image processing, Technical, Data collection, Data processing, Data Analyst, MSC",ahmedabad,2,6,"cv, environmental science, image processing, technical, data collection, data processing, data analyst, msc"
Data Analyst,Ramesh Parasmal Jain & Co.,Ahmedabad,1-4 Yrs,Not Disclosed,"Data Analyst, Data analysis, Data",ahmedabad,1,4,"data analyst, data analysis, data"
Data Analyst,Leading Client,Ahmedabad,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",ahmedabad,6,10,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools"
Data Analyst,Stalwart Themius,Ahmedabad,5-7 Yrs,Not Disclosed,"Business process, Data analysis, Process analysis, Analytical, data governance, power bi, Data Analyst, data visualization",ahmedabad,5,7,"business process, data analysis, process analysis, analytical, data governance, power bi, data analyst, data visualization"
Data Analyst,Space Stem,Ahmedabad,2-5 Yrs,Not Disclosed,"customer analytics, digital analytics, python, data querying, power bi, data analyst, javascript, analytics",ahmedabad,2,5,"customer analytics, digital analytics, python, data querying, power bi, data analyst, javascript, analytics"
